tid,mynt,candle,score,beslutning,bekreftet,fg,funding,pris,handling
2026-09-21T19:21:37Z,BTC-USDT,2026-09-21T12:00:00Z,0.25697857905588684,AVVENT,False,70,-1e-05,86367.3,
2026-09-21T19:21:37Z,ETH-USDT,2026-09-21T12:00:00Z,0.3437982829827875,KJØP,False,70,0.0001,2770.09,
2026-09-21T19:21:38Z,ZEC-USDT,2026-09-21T12:00:00Z,0.3524613618396215,KJØP,False,70,0.0001,1475.074,
2026-09-21T19:21:38Z,XRP-USDT,2026-09-21T12:00:00Z,0.21878266423729484,AVVENT,False,70,0.0001,1.50449,
2026-09-21T19:21:39Z,AVAX-USDT,2026-09-21T12:00:00Z,0.6042519256329756,KJØP,False,70,0.0001,10.958,
2026-09-21T19:21:39Z,XMR-USDT,2026-09-21T12:00:00Z,0.45322077394011007,KJØP,False,70,0.000478,573.87,
2026-09-21T19:21:40Z,TAO-USDT,2026-09-21T12:00:00Z,0.44907153473585626,KJØP,False,70,5e-05,290.23,
2026-09-21T19:21:40Z,NEAR-USDT,2026-09-21T12:00:00Z,0.5448837572481402,KJØP,False,70,0.0001,4.125,
2026-09-21T19:21:41Z,SUI-USDT,2026-09-21T12:00:00Z,0.3905640723349104,KJØP,False,70,0.0001,1.0167,
2026-09-21T19:21:41Z,DOT-USDT,2026-09-21T12:00:00Z,0.5547461839599914,KJØP,False,70,0.0001,1.18,
2026-09-21T19:21:41Z,UNI-USDT,2026-09-21T12:00:00Z,0.29733906053484394,AVVENT,False,70,0.0001,8.7986,
2026-09-21T19:21:42Z,SOL-USDT,2026-09-21T12:00:00Z,0.39704657756706946,KJØP,False,70,4.7e-05,117.92,
2026-09-21T19:21:42Z,DOGE-USDT,2026-09-21T12:00:00Z,0.276082546618886,AVVENT,False,70,0.0001,0.09866,
2026-09-21T19:21:43Z,LINK-USDT,2026-09-21T12:00:00Z,0.395688393014474,KJØP,False,70,0.0001,12.9794,
2026-09-21T19:21:43Z,AAVE-USDT,2026-09-21T12:00:00Z,0.4140418904371419,KJØP,False,70,0.0001,144.39,
2026-09-21T19:21:43Z,ENA-USDT,2026-09-21T12:00:00Z,0.5556797796796996,KJØP,False,70,5e-05,0.212,
2026-09-21T19:21:44Z,BNB-USDT,2026-09-21T12:00:00Z,0.4112636232904797,KJØP,False,70,0.0001,800.656,
2026-09-21T19:21:44Z,WIF-USDT,2026-09-21T12:00:00Z,0.3029363871365409,KJØP,False,70,1.2e-05,0.2369,
2026-09-21T19:21:45Z,SEI-USDT,2026-09-21T12:00:00Z,0.40646562102040384,KJØP,False,70,0.0001,0.05905,
2026-09-21T19:21:45Z,ARB-USDT,2026-09-21T12:00:00Z,0.4612598336470154,KJØP,False,70,0.0001,0.229,
2026-09-21T19:21:46Z,PEPE-USDT,2026-09-21T12:00:00Z,0.3696216083608649,KJØP,False,70,0.0001,4.966e-06,
2026-09-21T19:21:46Z,AKE-USDT,2026-09-21T12:00:00Z,0.25386200588931385,AVVENT,False,70,0.000105,0.0518739,
2026-09-21T19:21:46Z,LTC-USDT,2026-09-21T12:00:00Z,0.47611464652848123,KJØP,False,70,0.0001,61.71,
2026-09-21T19:21:47Z,SHIB-USDT,2026-09-21T12:00:00Z,0.3003661232029877,KJØP,False,70,0.0001,5.908e-06,
2026-09-21T19:21:47Z,KCS-USDT,2026-09-21T12:00:00Z,-0.09952081116984246,AVVENT,False,70,0.001371,7.337,
2026-09-21T19:21:48Z,TRUMP-USDT,2026-09-21T12:00:00Z,-0.1328420345278671,AVVENT,False,70,5e-05,2.141,
2026-09-21T19:21:48Z,INJ-USDT,2026-09-21T12:00:00Z,0.3937254446059235,KJØP,False,70,0.0001,7.798,
2026-09-21T19:21:49Z,TRX-USDT,2026-09-21T12:00:00Z,0.050337969060881935,AVVENT,False,70,0.0001,0.3442,
2026-09-21T19:21:49Z,ONDO-USDT,2026-09-21T12:00:00Z,0.4787533602723487,KJØP,False,70,5e-05,0.44168,
2026-09-21T19:21:49Z,HYPE-USDT,2026-09-21T12:00:00Z,0.3751545024507102,KJØP,False,70,5e-05,93.093,
2026-09-21T19:21:50Z,ONE-USDT,2026-09-21T12:00:00Z,0.5997208414443634,KJØP,False,70,0.000697,0.005358,
2026-09-21T19:21:50Z,ADA-USDT,2026-09-21T12:00:00Z,0.34582161336129125,KJØP,False,70,0.0001,0.2433,
2026-09-21T19:21:51Z,XLM-USDT,2026-09-21T12:00:00Z,0.4488505815487249,KJØP,False,70,0.0001,0.2096,
2026-09-21T19:21:51Z,FIL-USDT,2026-09-21T12:00:00Z,0.4360367263175118,KJØP,False,70,5.7e-05,0.9655,
2026-09-21T19:21:52Z,B2-USDT,2026-09-21T12:00:00Z,0.13477725600796234,AVVENT,False,70,0.000485,0.482,
2026-09-21T19:21:52Z,STRK-USDT,2026-09-21T12:00:00Z,0.26028734033437617,AVVENT,False,70,5e-05,0.04428,
2026-09-21T19:21:52Z,BB-USDT,2026-09-21T12:00:00Z,-0.20892272360126796,AVVENT,False,70,5e-05,0.008836,
2026-09-21T19:21:53Z,GRAM-USDT,2026-09-21T12:00:00Z,0.024669772620102316,AVVENT,False,70,5e-05,1.44,
2026-09-21T19:21:53Z,VVV-USDT,2026-09-21T12:00:00Z,0.6851658719917785,KJØP,False,70,5e-05,31.857,
2026-09-21T19:21:54Z,FET-USDT,2026-09-21T12:00:00Z,0.5536713105883412,KJØP,False,70,0.0001,0.1993,
2026-09-21T19:21:54Z,AR-USDT,2026-09-21T12:00:00Z,0.47514707676625634,KJØP,False,70,0.0001,4.493,
2026-09-21T19:21:55Z,HBAR-USDT,2026-09-21T12:00:00Z,0.43084211514894155,KJØP,False,70,3.6e-05,0.09088,
2026-09-21T19:21:55Z,DASH-USDT,2026-09-21T12:00:00Z,0.4895196906750809,KJØP,False,70,-7e-05,59.14,
2026-09-21T19:21:56Z,LSK-USDT,2026-09-21T12:00:00Z,0.3521478353534857,KJØP,False,70,,0.3692,
2026-09-21T19:21:56Z,SYN-USDT,2026-09-21T12:00:00Z,0.26664751359483585,AVVENT,False,70,,0.269,
2026-09-21T19:21:56Z,KAS-USDT,2026-09-21T12:00:00Z,0.4931883101996233,KJØP,False,70,5e-05,0.04313,
2026-09-21T19:21:57Z,PUMP-USDT,2026-09-21T12:00:00Z,-0.00544607177406824,AVVENT,False,70,5e-05,0.004265,
2026-09-21T19:21:57Z,G-USDT,2026-09-21T12:00:00Z,0.29384511433441257,AVVENT,False,70,-0.000223,0.00647,
2026-09-21T19:21:58Z,USELESS-USDT,2026-09-21T12:00:00Z,0.4842491004469657,KJØP,False,70,5e-05,0.29857,
2026-09-21T19:21:58Z,BR-USDT,2026-09-21T12:00:00Z,0.23932570446586518,AVVENT,False,70,0.000412,1.16852,
2026-09-21T19:21:58Z,CELR-USDT,2026-09-21T12:00:00Z,0.5562493688255911,KJØP,False,70,-0.007767,0.00331,
2026-09-21T19:21:59Z,XTZ-USDT,2026-09-21T12:00:00Z,0.33913114577147957,KJØP,False,70,5e-05,0.3508,
2026-09-21T19:21:59Z,WLD-USDT,2026-09-21T12:00:00Z,0.35985798721565837,KJØP,False,70,-2.9e-05,0.4347,
2026-09-21T19:22:00Z,STX-USDT,2026-09-21T12:00:00Z,0.5159781773771679,KJØP,False,70,0.0001,0.3322,
2026-09-21T19:22:00Z,ICP-USDT,2026-09-21T12:00:00Z,0.5246214501753295,KJØP,False,70,0.0001,2.921,
2026-09-21T19:22:01Z,ALGO-USDT,2026-09-21T12:00:00Z,0.5949567508792986,KJØP,False,70,0.0001,0.1109,
2026-09-21T19:22:01Z,BONK-USDT,2026-09-21T12:00:00Z,0.12796392989804106,AVVENT,False,70,,3.38e-06,
2026-09-21T19:22:01Z,APT-USDT,2026-09-21T12:00:00Z,0.49676992293452843,KJØP,False,70,9.4e-05,0.7638,
2026-09-21T19:22:02Z,FARTCOIN-USDT,2026-09-21T12:00:00Z,0.14573732461457198,AVVENT,False,70,0.000122,0.1953,
2026-09-21T19:22:02Z,BDX-USDT,2026-09-21T12:00:00Z,-0.18306893046419254,AVVENT,False,70,-0.001686,0.07558,
2026-09-21T19:22:03Z,BCH-USDT,2026-09-21T12:00:00Z,0.06986469682411522,AVVENT,False,70,2.8e-05,264.81,
2026-09-21T19:22:03Z,RENDER-USDT,2026-09-21T12:00:00Z,0.39456269048689147,KJØP,False,70,5e-05,1.782,
2026-09-21T19:22:04Z,COTI-USDT,2026-09-21T12:00:00Z,0.23208477922149517,AVVENT,False,70,2.6e-05,0.0169,
2026-09-21T19:22:04Z,SPX-USDT,2026-09-21T12:00:00Z,0.005065456575336372,AVVENT,False,70,5e-05,0.5109,
2026-09-21T19:22:05Z,WMTX-USDT,2026-09-21T12:00:00Z,-0.6186117000896845,SELG,False,70,,0.01424,
2026-09-21T19:22:05Z,S-USDT,2026-09-21T12:00:00Z,0.6691854996277317,KJØP,False,70,5e-05,0.03915,
2026-09-21T19:22:05Z,AERO-USDT,2026-09-21T12:00:00Z,0.4906225837590771,KJØP,False,70,5e-05,0.6821,
2026-09-21T19:22:06Z,RAY-USDT,2026-09-21T12:00:00Z,0.4253585001900858,KJØP,False,70,5e-05,1.8442,
2026-09-21T19:22:06Z,CAKE-USDT,2026-09-21T12:00:00Z,0.5725237193498827,KJØP,False,70,5e-05,2.527,
2026-09-21T19:22:07Z,VET-USDT,2026-09-21T12:00:00Z,0.5387924681264241,KJØP,False,70,0.0001,0.009033,
2026-09-21T19:22:07Z,XDC-USDT,2026-09-21T12:00:00Z,0.12911862090836979,AVVENT,False,70,0.000397,0.03024,
2026-09-21T19:22:08Z,ATOM-USDT,2026-09-21T12:00:00Z,0.43364329060488993,KJØP,False,70,0.0001,1.7903,
2026-09-21T19:22:08Z,PENGU-USDT,2026-09-21T12:00:00Z,0.046486358855113034,AVVENT,False,70,5e-05,0.008933,
2026-09-21T19:22:08Z,ZRO-USDT,2026-09-21T12:00:00Z,0.36307686473201345,KJØP,False,70,5e-05,1.1756,
2026-09-21T19:22:09Z,POL-USDT,2026-09-21T12:00:00Z,0.36819657307916537,KJØP,False,70,5e-05,0.1108,
2026-09-21T19:22:09Z,TIA-USDT,2026-09-21T12:00:00Z,0.33817204992486305,KJØP,False,70,2.8e-05,0.4311,
2026-09-21T19:22:10Z,CRV-USDT,2026-09-21T12:00:00Z,0.23688100415488608,AVVENT,False,70,0.0001,0.356,
2026-09-21T19:22:10Z,ZBCN-USDT,2026-09-21T12:00:00Z,0.30510740049717255,KJØP,False,70,,0.0020427,
2026-09-21T19:22:11Z,XPR-USDT,2026-09-21T12:00:00Z,-0.4020673583656721,SELG,False,70,,0.0025532,
2026-09-21T19:22:11Z,SOMI-USDT,2026-09-21T12:00:00Z,0.26108467153007753,AVVENT,False,70,5e-05,0.1861,
2026-09-21T19:22:11Z,AIN-USDT,2026-09-21T12:00:00Z,-0.47203889180925807,SELG,False,70,0.0013,0.0212,
2026-09-21T19:22:12Z,JASMY-USDT,2026-09-21T12:00:00Z,-0.025471917812311638,AVVENT,False,70,-0.000143,0.004333,
2026-09-21T19:22:12Z,OP-USDT,2026-09-21T12:00:00Z,0.4170007899229754,KJØP,False,70,0.0001,0.1239,
2026-09-21T19:22:13Z,DATA-USDT,2026-09-21T12:00:00Z,0.28097137860428556,AVVENT,False,70,5e-05,0.2009,
2026-09-21T19:22:13Z,SIREN-USDT,2026-09-21T12:00:00Z,-0.6167552053525492,SELG,False,70,0.000446,0.03897,
