tid,egenkapital,kontanter
2026-09-21T18:53:06Z,1000.0,1000.0
2026-09-21T19:22:20Z,1000.0,1000.0
2026-09-21T20:22:57Z,999.7267,726.7463
2026-09-21T21:22:24Z,999.8058,726.7463
2026-09-21T22:22:33Z,1000.9948,726.7463
2026-09-21T23:22:08Z,1001.5391,726.7463
2026-09-22T00:29:09Z,1003.564,463.5228
2026-09-22T01:21:00Z,997.2252,490.7839
2026-09-22T02:23:03Z,999.1427,490.7839
2026-09-22T03:23:35Z,995.4568,501.0324
2026-09-22T04:22:58Z,997.6272,501.0324
2026-09-22T05:22:13Z,990.6682,501.0324
2026-09-22T06:28:10Z,993.3946,501.0324
2026-09-22T07:23:15Z,994.5985,501.0324
2026-09-22T08:24:39Z,996.9256,501.0324
2026-09-22T09:22:53Z,997.7345,501.0324
2026-09-22T10:24:15Z,995.9717,501.0324
2026-09-22T11:22:37Z,997.0282,501.0324
2026-09-22T12:27:54Z,997.0428,501.0324
2026-09-22T13:24:00Z,1001.8165,501.0324
2026-09-22T14:28:36Z,998.6653,501.0324
2026-09-22T15:23:23Z,998.4384,501.0324
2026-09-22T16:23:56Z,993.7288,512.6468
2026-09-22T17:22:05Z,999.5006,512.6468
2026-09-22T18:27:01Z,999.911,512.6468
2026-09-22T19:21:19Z,1001.5237,512.6468
2026-09-22T20:21:47Z,999.1944,524.6238
2026-09-22T21:21:09Z,1000.5607,524.6238
2026-09-22T22:21:58Z,1001.1129,524.6238
2026-09-22T23:20:53Z,1010.0044,524.6238
2026-09-23T00:28:21Z,1009.9499,397.2563
2026-09-23T01:21:50Z,1009.2728,397.2563
2026-09-23T02:23:22Z,1006.3359,397.2563
2026-09-23T03:23:36Z,1010.681,402.7038
2026-09-23T04:24:09Z,1010.625,389.2847
2026-09-23T05:22:21Z,1009.7163,389.2847
2026-09-23T06:28:41Z,1008.7258,396.1497
2026-09-23T07:24:12Z,1007.4094,405.0982
2026-09-23T08:24:47Z,1005.7622,434.1836
2026-09-23T09:23:39Z,1004.056,434.1836
2026-09-23T10:23:32Z,1000.4663,434.1836
2026-09-23T11:23:07Z,998.2133,434.1836
2026-09-23T12:28:16Z,998.4642,383.6624
2026-09-23T13:24:53Z,993.7926,401.5063
2026-09-23T14:24:35Z,969.2952,477.7447
2026-09-23T15:24:03Z,975.7234,484.9962
2026-09-23T16:25:02Z,968.6752,491.6234
2026-09-23T17:23:10Z,968.6872,500.419
2026-09-23T18:26:37Z,965.5046,510.8405
2026-09-23T19:22:02Z,966.9148,510.8405
2026-09-23T20:23:35Z,966.788,510.8405
2026-09-23T21:23:03Z,964.739,519.3508
2026-09-23T22:22:25Z,967.981,527.3704
2026-09-23T23:19:25Z,966.7971,532.9281
